Incident_Number,Exposure_Number,ID,Address,Incident_Date,Call_Number,Alarm_DtTm,Arrival_DtTm,Close_DtTm,City,ZIP_Code,Battalion,Station_Area,Box,Suppression_Units,Suppression_Personnel,EMS_Units,EMS_Personnel,Other_Units,Other_Personnel,First_Unit_On_Scene,Estimated_Property_Loss,Estimated_Contents_Loss,Fire_Fatalities,Fire_Injuries,Civilian_Fatalities,Civilian_Injuries,Number_of_Alarms,Primary_Situation,Mutual_Aid,Action_Taken_Primary,Action_Taken_Secondary,Action_Taken_Other,Detector_Alerted_Occupants,Property_Use,Area_of_Fire_Origin,Ignition_Cause,Ignition_Factor_Primary,Ignition_Factor_Secondary,Heat_Source,Item_First_Ignited,Human_Factors_Associated_with_Ignition,Structure_Type,Structure_Status,Floor_of_Fire_Origin,Fire_Spread,No_Flame_Spead,Number_of_floors_with_minimum_damage,Number_of_floors_with_significant_damage,Number_of_floors_with_heavy_damage,Number_of_floors_with_extreme_damage,Detectors_Present,Detector_Type,Detector_Operation,Detector_Effectiveness,Detector_Failure_Reason,Automatic_Extinguishing_System_Present,Automatic_Extinguishing_Sytem_Type,Automatic_Extinguishing_Sytem_Perfomance,Automatic_Extinguishing_Sytem_Failure_Reason,Number_of_Sprinkler_Heads_Operating,Supervisor_District,Analysis_Neighborhood,point,Neighborhoods_old,Zip_Codes,Fire_Prevention_Districts,Police_Districts,Supervisor_Districts,Civic_Center_Harm_Reduction_Project_Boundary,Fix_It_Zones_2017,HSOC_Zones,Central_Market_Tenderloin_Boundary,Central_Market_Tenderloin_Boundary_Polygon_Updated,HSOC_Zones_as_of_2018_06_05,Neighborhoods,SF_Find_Neighborhoods,Current_Police_Districts,Current_Supervisor_Districts,Analysis_Neighborhoods
03002341,0,030023410,850 Bryant St.,01/08/2003,030080161,01/08/2003 12:00:42 PM,01/08/2003 12:03:26 PM,01/08/2003 12:06:03 PM,SF,94107,B03,08,,1,4,0,0,0,0,E08,0,0,0,0,0,0,1,411 - Gasoline or other flammable liquid spill,None,73 - Provide manpower,-,-,-,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,6,South of Market,POINT (-122.403759 37.775161),34,28853,14,2,9,,,,,,,32,32,1,10,34
03002345,0,030023450,Franklin St. / Turk St.,01/08/2003,030080166,01/08/2003 12:10:00 PM,01/08/2003 12:12:34 PM,01/08/2003 12:12:40 PM,SF,94114,B02,36,,2,9,0,0,0,0,E05,0,0,0,0,0,0,1,"711 - Municipal alarm system, Street Box False",None,86 - Investigate,-,-,-,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,5,Western Addition,POINT (-122.422277 37.781753),41,28852,7,9,11,1,,1,,,1,100,100,4,11,39
03002350,0,030023500,3471 Mission St.,01/08/2003,030080171,01/08/2003 12:23:02 PM,01/08/2003 12:25:30 PM,01/08/2003 12:34:29 PM,SF,94110,B06,32,,3,11,0,0,0,0,E32,0,0,0,0,0,0,1,"445 - Arcing, shorted electrical equipment",None,86 - Investigate,-,-,-,161 - Restaurant or cafeteria,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Bernal Heights,POINT (-122.42234217 37.74120276),2,28859,2,7,7,,,,,,,83,83,9,2,2
03002359,0,030023590,1 I280sb Ocean Geneva Of,01/08/2003,030080191,01/08/2003 01:07:14 PM,01/08/2003 01:10:29 PM,01/08/2003 01:40:35 PM,SF,94112,B09,15,,2,9,0,0,0,0,T15,0,0,0,0,0,0,1,"311 - Medical assist, assist EMS crew",None,86 - Investigate,-,-,-,429 - Multifamily dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Oceanview/Merced/Ingleside,POINT (-122.4496349 37.72295807),24,28861,9,7,4,,,,,,,95,95,9,8,24
03002365,0,030023650,48th Av. / Geary Bl.,01/08/2003,030080204,01/08/2003 01:28:05 PM,01/08/2003 01:28:30 PM,01/08/2003 02:34:33 PM,SF,94121,B07,34,,1,2,1,2,0,0,B07,0,0,0,0,0,0,1,"400 - Hazardous condition, other",None,86 - Investigate,-,-,-,"150 - Public or government, other",,,,,,,,,,,,,,,,,,,,,,,,,,,1,Outer Richmond,POINT (-122.509368 37.778963),26,55,11,6,2,,,,,,,6,6,8,4,29
03002368,0,030023680,445 - 447 Sutter St.,01/08/2003,030080207,01/08/2003 01:35:40 PM,01/08/2003 01:39:33 PM,01/08/2003 01:55:38 PM,SF,94105,B01,01,,3,11,0,0,0,0,T01,0,0,0,0,0,0,1,"700 - False alarm or false call, other",None,86 - Investigate,-,-,-,"500 - Mercantile, business, other",,,,,,,,,,,,,,,,,,,,,,,,,,,3,Financial District/South Beach,POINT (-122.40785854 37.78903102),6,28857,5,1,10,,10,,,,,19,19,6,3,8
03002370,0,030023700,1250 Columbus Av.,01/08/2003,030080210,01/08/2003 01:44:20 PM,01/08/2003 01:48:17 PM,01/08/2003 02:02:47 PM,SF,94133,B01,28,,3,11,0,0,0,0,B01,0,0,0,0,0,0,1,"700 - False alarm or false call, other",None,86 - Investigate,-,-,-,"000 - Property Use, other",,,,,,,,,,,,,,,,,,,,,,,,,,,3,North Beach,POINT (-122.417614 37.805648),23,308,5,1,10,,,,,,,99,99,6,3,23
03002371,0,030023710,Eddy St. / Laguna St.,01/08/2003,030080211,01/08/2003 01:46:54 PM,01/08/2003 01:48:40 PM,01/08/2003 01:52:44 PM,SF,94102,B02,05,,1,4,0,0,0,0,E05,0,0,0,0,0,0,1,911 - Citizen complaint,None,86 - Investigate,-,-,-,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,5,Western Addition,POINT (-122.427401 37.782057),41,28852,7,9,11,,,,,,,97,97,4,11,39
03002376,0,030023760,Bright St. / Sargent St.,01/08/2003,030080218,01/08/2003 02:01:47 PM,01/08/2003 02:04:17 PM,01/08/2003 02:05:00 PM,SF,94112,B09,33,,2,4,1,1,1,1,E33,0,0,0,0,0,0,1,"711 - Municipal alarm system, Street Box False",None,86 - Investigate,-,-,-,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,11,Oceanview/Merced/Ingleside,POINT (-122.4634527 37.71618958),24,64,9,8,6,,,,,,,65,65,10,1,24
03002379,0,030023790,44 Montgomery St.,01/08/2003,030080226,01/08/2003 02:12:59 PM,01/08/2003 02:17:00 PM,01/08/2003 02:19:19 PM,SF,94111,B01,13,,3,11,0,0,0,0,T13,0,0,0,0,0,0,1,"700 - False alarm or false call, other",None,86 - Investigate,-,-,-,599 - Business office,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Financial District/South Beach,POINT (-122.401767 37.789808),6,28854,4,1,10,,,,,,,108,108,6,3,8
03002390,0,030023900,5050 Fulton St.,01/08/2003,030080245,01/08/2003 03:10:02 PM,01/08/2003 03:22:40 PM,01/08/2003 03:27:31 PM,SF,94121,B07,14,,1,5,1,2,0,0,T14,0,0,0,0,0,0,1,"311 - Medical assist, assist EMS crew",None,31 - Provide first aid & check for injuries,-,-,-,419 - 1 or 2 family dwelling,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Outer Richmond,POINT (-122.48605119 37.77266763),26,55,11,6,2,,,,,,,8,8,8,4,29
03002396,0,030023960,25th St. / Valencia St.,01/08/2003,030080254,01/08/2003 03:28:31 PM,01/08/2003 03:31:03 PM,01/08/2003 03:31:20 PM,SF,94110,B06,11,,2,9,0,0,0,0,E11,0,0,0,0,0,0,1,"711 - Municipal alarm system, Street Box False",None,86 - Investigate,-,-,-,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,8,Mission,POINT (-122.420507 37.750505),19,28859,2,4,5,,,3,,,3,53,53,3,5,20
03002399,0,030023990,238 Leavenworth St.,01/08/2003,030080258,01/08/2003 03:41:20 PM,01/08/2003 03:44:56 PM,01/08/2003 03:58:08 PM,SF,94102,B02,03,,3,11,0,0,0,0,E03,0,0,0,0,0,0,1,"651 - Smoke scare, odor of smoke",None,86 - Investigate,-,-,-,"439 - Boarding/rooming house, res. hotels",,,,,,,,,,,,,,,,,,,,,,,,,,,6,Tenderloin,POINT (-122.414046 37.78318),36,28852,7,10,9,1,17,,1,1,,20,20,5,10,36
03002407,0,030024070,Leavenworth St. / Sacramento St.,01/08/2003,030080270,01/08/2003 04:03:42 PM,01/08/2003 04:04:00 PM,01/08/2003 04:14:11 PM,SF,94109,B01,41,,1,4,0,0,0,0,E41,0,0,0,0,0,0,1,"651 - Smoke scare, odor of smoke",None,86 - Investigate,-,-,-,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,3,Nob Hill,POINT (-122.415938 37.792132),21,28858,5,1,10,,,,,,,16,16,6,3,21
03002408,0,030024080,100 Kirkwood Av.,01/08/2003,030080271,01/08/2003 04:04:28 PM,01/08/2003 04:08:31 PM,01/08/2003 04:09:07 PM,SF,94124,B10,25,,2,9,0,0,0,0,E25,0,0,0,0,0,0,1,"711 - Municipal alarm system, Street Box False",None,86 - Investigate,-,-,-,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,10,Bayview Hunters Point,POINT (-122.3714104 37.7277044),1,58,10,3,8,,,,,,,78,78,2,9,1
03002409,0,030024090,601 Willow St.,01/08/2003,030080273,01/08/2003 04:10:24 PM,01/08/2003 04:13:38 PM,01/08/2003 04:23:52 PM,SF,94115,B02,05,,3,11,0,0,0,0,T03,0,0,0,0,0,0,1,735 - Alarm system sounded due to malfunction,None,86 - Investigate,-,-,-,419 - 1 or 2 family dwelling,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Western Addition,POINT (-122.42835867 37.78219684),41,29490,7,9,11,,,,,,,97,97,4,11,39
03002410,0,030024100,2955 Van Ness Av.,01/08/2003,030080274,01/08/2003 04:13:03 PM,01/08/2003 04:14:17 PM,01/08/2003 05:09:22 PM,SF,94123,B04,16,,3,11,0,0,0,0,T16,0,0,0,0,0,0,1,412 - Gas leak (natural gas or LPG),None,51 - Ventilate,86 - Investigate,-,-,429 - Multifamily dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Russian Hill,POINT (-122.424922 37.802771),32,28858,13,9,1,,,,,,,17,17,4,6,32
03002413,0,030024130,100 - Blk Kiska Rd.,01/08/2003,030080281,01/08/2003 04:29:26 PM,01/08/2003 04:32:39 PM,01/08/2003 04:40:11 PM,SF,94124,B10,17,,1,4,0,0,0,0,E17,0,0,0,0,0,0,1,"118 - Trash or rubbish fire, contained",None,11 - Extinguish,-,-,U - Unknown,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,10,Bayview Hunters Point,POINT (-122.37709314 37.73062917),1,58,10,3,8,,,,,,,78,78,2,9,1
03002414,0,030024140,16th St. / Guerrero St.,01/08/2003,030080282,01/08/2003 04:32:35 PM,01/08/2003 04:35:30 PM,01/08/2003 04:35:32 PM,SF,94110,B02,06,,2,9,0,0,0,0,E06,0,0,0,0,0,0,1,"711 - Municipal alarm system, Street Box False",None,86 - Investigate,-,-,-,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,8,Mission,POINT (-122.424104 37.764783),19,28859,8,4,5,,,,,,,37,37,3,5,20
03002416,0,030024160,199 Arguello Bl.,01/08/2003,030080286,01/08/2003 04:44:40 PM,01/08/2003 04:48:39 PM,01/08/2003 04:56:52 PM,SF,94118,B07,10,,3,11,1,2,0,0,T10,0,0,0,0,0,0,1,"700 - False alarm or false call, other",None,86 - Investigate,-,-,-,429 - Multifamily dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Inner Richmond,POINT (-122.459371 37.786977),11,54,11,6,1,,,,,,,4,4,8,6,11
03002419,0,030024190,2023 Folsom St.,01/08/2003,030080290,01/08/2003 04:52:09 PM,01/08/2003 05:10:49 PM,01/08/2003 05:10:49 PM,SF,94110,B02,07,,1,1,1,1,1,1,RS2,0,0,0,0,0,0,1,"500 - Service Call, other",None,"70 - Assistance, other",-,-,-,429 - Multifamily dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Mission,POINT (-122.41494939 37.764902),19,28859,8,4,7,,,3,,,3,53,53,3,2,20
03002424,0,030024240,Sansome St. / Washington St.,01/08/2003,030080296,01/08/2003 05:04:01 PM,01/08/2003 05:05:15 PM,01/08/2003 05:10:36 PM,SF,94111,B01,13,,3,11,0,0,0,0,T13,0,0,0,0,0,0,1,"711 - Municipal alarm system, Street Box False",None,86 - Investigate,-,-,-,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,3,Chinatown,POINT (-122.401678 37.79572),4,28860,3,1,10,,,,,,,106,106,6,3,6
03002425,0,030024250,Broad St. / Capitol Av.,01/08/2003,030080297,01/08/2003 05:04:47 PM,01/08/2003 05:07:14 PM,01/08/2003 05:07:44 PM,SF,94112,B09,33,,2,9,1,2,1,1,E33,0,0,0,0,0,0,1,"711 - Municipal alarm system, Street Box False",None,86 - Investigate,-,-,-,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,11,Oceanview/Merced/Ingleside,POINT (-122.459024 37.713172),24,28861,9,8,6,,7,,,,,81,81,10,1,24
03002427,0,030024270,1 Sf Intl Airport,01/08/2003,030080300,01/08/2003 05:20:05 PM,01/08/2003 05:36:00 PM,01/08/2003 06:13:35 PM,SFO,94105,B09,44,,5,20,2,3,0,0,RC4,0,0,0,0,0,0,1,"651 - Smoke scare, odor of smoke",None,86 - Investigate,-,-,-,"880 - Vehicle storage, other",,,,,,,,,,,,,,,,,,,,,,,,,,,10,Bayview Hunters Point,POINT (-122.38416 37.616901),,60,,,,,,,,,,,,,,
03002433,0,030024330,4911 17th St.,01/08/2003,030080306,01/08/2003 05:28:42 PM,01/08/2003 05:32:32 PM,01/08/2003 05:53:01 PM,SF,94117,B05,12,,1,4,0,0,0,0,E12,0,0,0,0,0,0,1,"500 - Service Call, other",None,86 - Investigate,-,-,-,419 - 1 or 2 family dwelling,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Inner Sunset,POINT (-122.45091345 37.76142275),12,29492,15,5,11,,,,,,,114,114,7,11,14
03002434,0,030024340,19th St. / Dolores St.,01/08/2003,030080307,01/08/2003 05:29:08 PM,01/08/2003 05:32:09 PM,01/08/2003 05:38:58 PM,SF,94110,B06,07,,1,1,1,1,1,1,E07,0,0,0,0,0,0,1,"700 - False alarm or false call, other",None,86 - Investigate,-,-,-,"962 - Residential street, road or residential dr",,,,,,,,,,,,,,,,,,,,,,,,,,,8,Castro/Upper Market,POINT (-122.425921 37.759828),3,28862,2,4,5,,,,,,5,37,37,3,5,5
03002437,0,030024370,441 Ellis St.,01/08/2003,030080314,01/08/2003 05:49:16 PM,01/08/2003 05:52:36 PM,01/08/2003 06:11:15 PM,SF,94102,B03,03,,3,11,0,0,0,0,T03,0,0,0,0,0,0,1,"740 - Unintentional alarm, other",None,86 - Investigate,-,-,-,"439 - Boarding/rooming house, res. hotels",,,,,,,,,,,,,,,,,,,,,,,,,,,6,Tenderloin,POINT (-122.4134533 37.78449644),36,28852,7,10,9,,17,,1,1,,20,20,5,10,36
03002439,0,030024390,1261 Eddy St.,01/08/2003,030080317,01/08/2003 05:56:07 PM,01/08/2003 05:58:42 PM,01/08/2003 06:01:25 PM,SF,94102,B02,05,,3,11,0,0,0,0,E05,0,0,0,0,0,0,1,"113 - Cooking fire, confined to container",None,86 - Investigate,-,-,1 - Detector alerted occupants,429 - Multifamily dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Western Addition,POINT (-122.42812423 37.78148613),41,29490,7,9,11,,,,,,,97,97,4,11,39
03002441,0,030024410,840 Broadway St.,01/08/2003,030080321,01/08/2003 06:07:19 PM,01/08/2003 06:09:32 PM,01/08/2003 06:19:34 PM,SF,94133,B01,02,,1,4,0,0,0,0,E02,0,0,0,0,0,0,1,"100 - Fire, other",None,86 - Investigate,-,-,U - Unknown,429 - Multifamily dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Chinatown,POINT (-122.41103806 37.79762043),4,308,3,1,10,,,,,,,107,107,6,3,6
03002442,0,030024420,441 Ellis St.,01/08/2003,030080322,01/08/2003 06:12:13 PM,01/08/2003 06:14:12 PM,01/08/2003 06:44:05 PM,SF,94102,B03,03,,9,33,0,0,0,0,RS2,0,0,0,0,0,0,1,"713 - Telephone, malicious false alarm",None,86 - Investigate,-,-,-,"439 - Boarding/rooming house, res. hotels",,,,,,,,,,,,,,,,,,,,,,,,,,,6,Tenderloin,POINT (-122.4134533 37.78449644),36,28852,7,10,9,,17,,1,1,,20,20,5,10,36
03002444,0,030024440,1238 Buchanan St.,01/08/2003,030080324,01/08/2003 06:14:27 PM,01/08/2003 06:16:40 PM,01/08/2003 06:18:29 PM,SF,94102,B02,05,,3,11,0,0,0,0,E05,0,0,0,0,0,0,1,"113 - Cooking fire, confined to container",None,86 - Investigate,-,-,1 - Detector alerted occupants,429 - Multifamily dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Western Addition,POINT (-122.4289136 37.78096335),41,29490,7,9,11,,,,,,,97,97,4,11,39
03002445,0,030024450,496 Eddy St.,01/08/2003,030080325,01/08/2003 06:15:57 PM,01/08/2003 06:19:20 PM,01/08/2003 06:24:41 PM,SF,94109,B02,03,,1,4,0,0,0,0,E36,0,0,0,0,0,0,1,"100 - Fire, other",None,11 - Extinguish,-,-,2 - Detector did not alert occupants,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,6,Tenderloin,POINT (-122.415783 37.783598),36,28858,7,10,9,1,17,,1,1,,20,20,5,10,36
03002450,0,030024500,17th St. / Market St.,01/08/2003,030080331,01/08/2003 06:35:36 PM,01/08/2003 06:38:29 PM,01/08/2003 06:39:59 PM,SF,94114,B05,06,,1,4,0,0,0,0,E06,0,0,0,0,0,0,1,"700 - False alarm or false call, other",None,86 - Investigate,-,-,-,963 - Street or road in commercial area,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Castro/Upper Market,POINT (-122.435188 37.762671),3,28862,15,4,5,,1,5,,,5,113,113,3,5,5
03002454,0,030024540,630 Sansome St.,01/08/2003,030080337,01/08/2003 07:05:08 PM,01/08/2003 07:06:31 PM,01/08/2003 07:27:45 PM,SF,94111,B01,13,,3,11,0,0,0,0,E13,0,0,0,0,0,0,1,531 - Smoke or odor removal,None,86 - Investigate,-,-,-,599 - Business office,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Chinatown,POINT (-122.401652 37.796034),4,28860,3,1,10,,,,,,,106,106,6,3,6
03002457,0,030024570,375 Laguna Honda Bl.,01/08/2003,030080342,01/08/2003 07:21:11 PM,01/08/2003 07:24:38 PM,01/08/2003 07:57:59 PM,SF,94127,B08,20,,2,9,0,0,0,0,E20,0,0,0,0,0,0,1,735 - Alarm system sounded due to malfunction,None,86 - Investigate,-,-,-,331 - Hospital - medical or psychiatric,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Twin Peaks,POINT (-122.456145 37.748644),38,63,1,5,4,,,,,,,49,49,7,8,38
03002458,0,030024580,1827 34th Av.,01/08/2003,030080343,01/08/2003 07:22:14 PM,01/08/2003 07:26:55 PM,01/08/2003 07:27:23 PM,SF,94122,B08,18,,1,4,0,0,0,0,E18,0,0,0,0,0,0,1,733 - Smoke detector activation/malfunction,None,86 - Investigate,-,-,-,419 - 1 or 2 family dwelling,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Sunset/Parkside,POINT (-122.492596 37.752999),35,56,1,8,3,,,,,,,39,39,10,7,35
03002462,0,030024620,14th St. / Guerrero St.,01/08/2003,030080351,01/08/2003 07:56:29 PM,01/08/2003 07:59:07 PM,01/08/2003 07:59:21 PM,SF,94110,B02,06,,2,9,0,0,0,0,T06,0,0,0,0,0,0,1,"711 - Municipal alarm system, Street Box False",None,86 - Investigate,-,-,-,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,8,Mission,POINT (-122.424413 37.768005),19,28853,8,4,5,,,,,,,37,37,3,5,20
03002465,0,030024650,174 Anderson St.,01/08/2003,030080354,01/08/2003 08:11:08 PM,01/08/2003 08:15:20 PM,01/08/2003 08:20:22 PM,SF,94110,B06,32,,1,4,0,0,0,0,E32,0,0,0,0,0,0,1,444 - Power line down (wire),None,45 - Remove hazard,-,-,-,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,9,Bernal Heights,POINT (-122.4152371 37.74041613),2,28859,2,7,7,,,,,,,83,83,9,2,2
03002466,0,030024660,186 West Portal Av.,01/08/2003,030080355,01/08/2003 08:21:00 PM,01/08/2003 08:23:11 PM,01/08/2003 08:42:53 PM,SF,94127,B08,39,,3,10,0,0,0,0,E39,0,0,0,0,0,0,1,"550 - Public service assistance, other",None,31 - Provide first aid & check for injuries,-,-,-,963 - Street or road in commercial area,,,,,,,,,,,,,,,,,,,,,,,,,,,7,West of Twin Peaks,POINT (-122.46795 37.739002),40,59,1,8,4,,,,,,,46,46,10,8,41
03002470,0,030024700,48th Av. / Ortega St.,01/08/2003,030080360,01/08/2003 08:42:28 PM,01/08/2003 08:50:09 PM,01/08/2003 08:50:09 PM,SF,94122,B08,23,,1,4,0,0,0,0,,0,0,0,0,0,0,1,551 - Assist PD or other Govern. Agency,None,73 - Provide manpower,-,-,-,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,4,Sunset/Parkside,POINT (-122.507414 37.751002),35,29491,1,8,3,,,,,,,39,39,10,7,35
03002471,0,030024710,Market St. / Powell St.,01/08/2003,030080361,01/08/2003 08:44:27 PM,01/08/2003 08:57:47 PM,01/08/2003 08:57:50 PM,SF,94109,B03,01,,1,4,0,0,0,0,E03,0,0,0,0,0,0,1,554 - Assist invalid,None,"00 - Action taken, other",-,-,-,"000 - Property Use, other",,,,,,,,,,,,,,,,,,,,,,,,,,,3,Tenderloin,POINT (-122.408088 37.784337),36,28852,14,10,10,1,,,1,1,,19,19,5,3,36
03002475,0,030024750,65 Battery St.,01/08/2003,030080366,01/08/2003 09:04:43 PM,01/08/2003 09:09:50 PM,01/08/2003 09:09:50 PM,SF,94111,B01,13,,1,4,0,0,0,0,,0,0,0,0,0,0,1,"118 - Trash or rubbish fire, contained",None,11 - Extinguish,-,-,U - Unknown,963 - Street or road in commercial area,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Financial District/South Beach,POINT (-122.39996353 37.79181691),6,28854,4,1,10,,,,,,,108,108,6,3,8
03002476,0,030024760,Stockton St. / Sutter St.,01/08/2003,030080369,01/08/2003 09:13:25 PM,01/08/2003 09:16:00 PM,01/08/2003 09:16:47 PM,SF,94105,B01,01,,2,9,0,0,0,0,T01,0,0,0,0,0,0,1,"711 - Municipal alarm system, Street Box False",None,86 - Investigate,-,-,-,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,3,Financial District/South Beach,POINT (-122.406959 37.789435),6,28857,5,1,10,,10,,,,,19,19,6,3,8
03002477,0,030024770,199 Arguello Bl.,01/08/2003,030080372,01/08/2003 09:37:27 PM,01/08/2003 09:41:08 PM,01/08/2003 09:52:45 PM,SF,94118,B07,10,,1,4,1,2,0,0,E10,0,0,0,0,0,0,1,"730 - System malfunction, other",None,86 - Investigate,-,-,-,429 - Multifamily dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Inner Richmond,POINT (-122.459371 37.786977),11,54,11,6,1,,,,,,,4,4,8,6,11
03002479,0,030024790,Eddy St. / Webster St.,01/08/2003,030080374,01/08/2003 09:51:41 PM,01/08/2003 09:53:26 PM,01/08/2003 09:55:30 PM,SF,94114,B05,05,,2,9,0,0,0,0,E05,0,0,0,0,0,0,1,"711 - Municipal alarm system, Street Box False",None,86 - Investigate,-,-,-,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,5,Western Addition,POINT (-122.430612 37.781644),41,29490,15,9,11,,,,,,,97,97,4,11,39
03002483,0,030024830,2238 Hyde St.,01/08/2003,030080380,01/08/2003 10:24:18 PM,01/08/2003 10:27:40 PM,01/08/2003 10:42:37 PM,SF,94109,B01,41,,3,11,0,0,0,0,E41,0,0,0,0,0,0,1,"651 - Smoke scare, odor of smoke",None,86 - Investigate,-,-,-,429 - Multifamily dwellings,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Russian Hill,POINT (-122.41930051 37.80152151),32,28858,5,1,1,,,,,,,107,107,6,6,32
03002484,0,030024840,23rd St. / Shotwell St.,01/08/2003,030080381,01/08/2003 10:29:30 PM,01/08/2003 10:31:51 PM,01/08/2003 11:40:56 PM,SF,94103,B06,07,,2,9,0,0,0,0,E07,0,0,0,0,0,0,1,"730 - System malfunction, other",None,86 - Investigate,-,-,-,963 - Street or road in commercial area,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Mission,POINT (-122.415322 37.754035),19,28859,2,4,7,,,3,,,3,53,53,3,2,20
03002485,0,030024850,23rd St. / South Van Ness Av.,01/08/2003,030080382,01/08/2003 10:30:22 PM,01/08/2003 10:32:28 PM,01/08/2003 10:32:28 PM,SF,94110,B06,07,,2,9,0,0,0,0,,0,0,0,0,0,0,1,621 - Wrong location,None,86 - Investigate,-,-,-,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,9,Mission,POINT (-122.416414 37.753967),19,28859,2,4,7,,,3,,,3,53,53,3,2,20
03002486,0,030024860,23rd St. / Shotwell St.,01/08/2003,030080383,01/08/2003 10:30:40 PM,01/08/2003 10:33:42 PM,01/08/2003 10:33:42 PM,SF,94124,B06,07,,3,12,0,0,0,0,,0,0,0,0,0,0,1,"700 - False alarm or false call, other",None,86 - Investigate,-,-,-,"000 - Property Use, other",,,,,,,,,,,,,,,,,,,,,,,,,,,9,Mission,POINT (-122.415322 37.754035),19,28859,2,4,7,,,3,,,3,53,53,3,2,20
03002489,0,030024890,1 The Embarcadero Sou,01/08/2003,030080386,01/08/2003 10:44:05 PM,01/08/2003 10:47:48 PM,01/08/2003 11:13:26 PM,SF,94105,B03,35,,3,11,0,0,0,0,E35,0,0,0,0,0,0,1,"730 - System malfunction, other",None,86 - Investigate,-,-,-,"000 - Property Use, other",,,,,,,,,,,,,,,,,,,,,,,,,,,3,Financial District/South Beach,POINT (-122.393413 37.795204),6,28860,3,2,10,,,,,,,108,108,6,3,8
03002490,0,030024900,100 Cargo Wy.,01/08/2003,030080387,01/08/2003 10:47:14 PM,01/08/2003 10:50:34 PM,01/08/2003 10:53:45 PM,SF,94124,B10,25,,2,9,0,0,0,0,E25,0,0,0,0,0,0,1,"711 - Municipal alarm system, Street Box False",None,86 - Investigate,-,-,-,"960 - Street, other",,,,,,,,,,,,,,,,,,,,,,,,,,,10,Bayview Hunters Point,POINT (-122.377949 37.740902),1,58,10,3,8,,,,,,,56,56,2,9,1
03002491,0,030024910,2985 San Bruno Av.,01/08/2003,030080388,01/08/2003 10:49:08 PM,01/08/2003 10:51:49 PM,01/08/2003 11:21:42 PM,SF,94124,B10,44,,8,30,0,0,0,0,E17,0,0,0,0,0,0,1,"100 - Fire, other",None,"10 - Fire, other",-,-,U - Unknown,"000 - Property Use, other",,,,,,,,,,,,,,,,,,,,,,,,,,,9,Portola,POINT (-122.402117 37.724276),28,309,10,3,7,,,,,,,91,91,2,2,25
03002494,0,030024940,9th St. / Harrison St.,01/08/2003,030080393,01/08/2003 10:57:04 PM,01/08/2003 11:01:57 PM,01/08/2003 11:05:50 PM,SF,94103,B03,29,,1,4,0,0,0,0,E29,0,0,0,0,0,0,1,"151 - Outside rubbish, trash or waste fire",None,86 - Investigate,-,-,-,"000 - Property Use, other",,,,,,,,,,,,,,,,,,,,,,,,,,,6,South of Market,POINT (-122.410079 37.772527),34,28853,8,2,9,,,,,,,32,32,1,10,34
